timestamp,load_kwh,irradiation_w_m2,temperature_c,tariff_zone,tariff_price_uah_per_kwh,day_ahead_load_forecast_kwh
2025-04-10 02:00:00,49.4183,14.08,5.05,night,2.64,53.04305615773811
2025-04-10 03:00:00,54.269999999999996,20.6,7.72,night,2.64,52.8239401550926
2025-04-10 04:00:00,50.421,15.78,7.83,night,2.64,51.911058795634894
2025-04-10 05:00:00,50.0473,0.0,9.47,night,2.64,52.32943949603175
2025-04-10 06:00:00,69.9669,0.0,8.67,night,2.64,52.200202646494695
2025-04-10 07:00:00,67.6687,174.5,10.68,half_peak,5.28,52.4448243095238
2025-04-10 08:00:00,102.7251,297.44,11.82,peak,7.92,53.65934067096562
2025-04-10 09:00:00,100.6413,416.73,13.92,peak,7.92,70.14995581746032
2025-04-10 10:00:00,97.1717,486.98,13.24,peak,7.92,70.43769531349206
2025-04-10 11:00:00,104.85929999999999,598.83,11.96,half_peak,5.28,69.75131831051587
2025-04-10 12:00:00,108.578,595.82,14.91,half_peak,5.28,70.18346298214284
2025-04-10 13:00:00,98.4079,571.72,15.51,half_peak,5.28,72.68383567261904
2025-04-10 14:00:00,97.4914,505.58,14.27,half_peak,5.28,72.79975444940479
2025-04-10 15:00:00,102.9678,406.11,11.74,half_peak,5.28,73.01138350595238
2025-04-10 16:00:00,107.5687,280.53,14.19,half_peak,5.28,72.3981585446429
2025-04-10 17:00:00,107.4049,140.36,11.38,half_peak,5.28,70.89321100264551
2025-04-10 18:00:00,85.6358,2.87,12.06,half_peak,5.28,72.5420161706349
2025-04-10 19:00:00,84.9196,0.0,11.5,half_peak,5.28,51.92148050793651
2025-04-10 20:00:00,85.2938,0.0,7.13,peak,7.92,52.06099229960321
2025-04-10 21:00:00,84.5785,14.17,8.09,peak,7.92,53.08296583134922
2025-04-10 22:00:00,67.9907,0.0,8.18,half_peak,5.28,51.593967839285725
2025-04-10 23:00:00,67.842,7.72,6.65,night,2.64,52.08345255952382
2025-04-11 00:00:00,53.1479,0.0,5.47,night,2.64,55.45233115277775
2025-04-11 01:00:00,52.0013,19.6,5.7,night,2.64,53.62261114880952
2025-04-11 02:00:00,54.5341,21.38,6.32,night,2.64,53.74768111507937
2025-04-11 03:00:00,53.1568,0.0,6.81,night,2.64,54.69700306746032
2025-04-11 04:00:00,50.1097,0.0,5.56,night,2.64,53.3158250813492
2025-04-11 05:00:00,50.278,5.98,6.98,night,2.64,54.00561370436508
2025-04-11 06:00:00,67.0458,0.0,10.38,night,2.64,72.56265509358464
2025-04-11 07:00:00,73.7196,138.8,9.78,half_peak,5.28,72.43298539980157
2025-04-11 08:00:00,93.6179,314.62,10.55,peak,7.92,107.71574661111111
2025-04-11 09:00:00,102.924,436.54,12.83,peak,7.92,107.3179036954365
2025-04-11 10:00:00,101.1076,533.91,11.87,peak,7.92,107.14286728670636
2025-04-11 11:00:00,106.7081,598.6,13.41,half_peak,5.28,107.0766752410714
2025-04-11 12:00:00,102.7741,605.98,15.96,half_peak,5.28,106.29272763690474
2025-04-11 13:00:00,103.4423,555.44,14.11,half_peak,5.28,107.4039337123016
2025-04-11 14:00:00,101.3881,502.97,12.42,half_peak,5.28,109.17662617328044
2025-04-11 15:00:00,106.2439,447.41,14.14,half_peak,5.28,108.63388669444444
2025-04-11 16:00:00,102.3763,281.78,13.06,half_peak,5.28,109.45271190079367
2025-04-11 17:00:00,104.5228,170.82,12.76,half_peak,5.28,110.79829876256622
2025-04-11 18:00:00,76.5285,27.8,9.63,half_peak,5.28,87.62717565939153
2025-04-11 19:00:00,78.6309,0.0,8.91,half_peak,5.28,86.82192180489422
2025-04-11 20:00:00,82.6309,29.45,8.96,peak,7.92,89.22498175396828
2025-04-11 21:00:00,78.0688,0.0,7.4,peak,7.92,88.55804751911974
2025-04-11 22:00:00,71.9445,0.0,7.61,half_peak,5.28,73.65104058035719
2025-04-11 23:00:00,65.01820000000001,0.0,7.26,night,2.64,72.73767390972226
2025-04-12 00:00:00,51.268,0.0,5.63,night,2.64,56.65901320370368
2025-04-12 01:00:00,51.824,0.0,5.49,night,2.64,56.49944450793654
2025-04-12 02:00:00,50.4175,0.0,5.9,night,2.64,54.427166063161366
2025-04-12 03:00:00,49.8067,0.0,8.99,night,2.64,58.118096559523806
2025-04-12 04:00:00,50.8228,0.0,8.26,night,2.64,56.85565577777778
2025-04-12 05:00:00,49.7198,18.21,7.27,night,2.64,61.693437897817454
2025-04-12 06:00:00,53.0803,0.0,10.43,night,2.64,73.702542380291
2025-04-12 07:00:00,50.0201,130.34,11.14,half_peak,5.28,74.13204131382275
2025-04-12 08:00:00,50.3362,278.86,9.8,peak,7.92,109.35506353174604
2025-04-12 09:00:00,70.4091,424.75,10.65,peak,7.92,105.59718918353178
2025-04-12 10:00:00,68.8135,543.13,13.37,peak,7.92,108.64189961607146
2025-04-12 11:00:00,66.6068,604.79,12.32,half_peak,5.28,108.07332316269844
2025-04-12 12:00:00,64.9811,626.71,15.6,half_peak,5.28,109.8727676607143
2025-04-12 13:00:00,61.0386,587.76,14.06,half_peak,5.28,108.65474251289682
2025-04-12 14:00:00,72.1006,515.14,15.97,half_peak,5.28,108.67293822023812
2025-04-12 15:00:00,70.7423,420.02,12.7,half_peak,5.28,108.2497579652778
2025-04-12 16:00:00,67.9544,328.88,11.37,half_peak,5.28,110.0805230744048
2025-04-12 17:00:00,62.5302,132.98,13.82,half_peak,5.28,110.35591315277776
2025-04-12 18:00:00,71.2319,28.42,10.62,half_peak,5.28,87.36687968253968
2025-04-12 19:00:00,51.613,5.83,10.5,half_peak,5.28,88.94169107242062
2025-04-12 20:00:00,52.8769,0.0,10.78,peak,7.92,88.5657872450397
2025-04-12 21:00:00,49.8519,0.0,7.21,peak,7.92,89.26436483134924
2025-04-12 22:00:00,50.4622,21.41,5.89,half_peak,5.28,74.95169704166669
2025-04-12 23:00:00,52.5231,0.0,8.9,night,2.64,72.34844184523809
2025-04-13 00:00:00,52.578,11.18,8.59,night,2.64,56.47204155952383
2025-04-13 01:00:00,50.368,0.0,7.84,night,2.64,55.44250118452381
2025-04-13 02:00:00,53.158,15.61,8.31,night,2.64,57.52348746990743
2025-04-13 03:00:00,50.6963,0.0,5.54,night,2.64,57.20912686375663
2025-04-13 04:00:00,49.6777,0.0,6.67,night,2.64,56.433761781415335
2025-04-13 05:00:00,50.2074,0.0,10.52,night,2.64,56.61998732506613
2025-04-13 06:00:00,50.3533,6.86,8.19,night,2.64,73.32509576455028
2025-04-13 07:00:00,50.3525,131.35,9.05,half_peak,5.28,76.0235790902777
2025-04-13 08:00:00,50.4082,326.83,9.92,peak,7.92,105.73025368650796
2025-04-13 09:00:00,67.7943,415.63,10.8,peak,7.92,107.63940115575396
2025-04-13 10:00:00,66.7413,554.74,11.76,peak,7.92,108.837391514881
2025-04-13 11:00:00,66.0497,590.6,14.99,half_peak,5.28,107.01342560515867
2025-04-13 12:00:00,70.6814,620.93,15.28,half_peak,5.28,106.48418703670632
2025-04-13 13:00:00,68.4496,592.44,13.5,half_peak,5.28,108.3103222648809
2025-04-13 14:00:00,60.77,547.47,16.46,half_peak,5.28,110.13239559722224
2025-04-13 15:00:00,66.6903,461.94,14.19,half_peak,5.28,106.5009225717593
2025-04-13 16:00:00,61.062,326.2,13.27,half_peak,5.28,108.66989506944444
2025-04-13 17:00:00,63.4705,141.17,11.07,half_peak,5.28,109.64577769345242
2025-04-13 18:00:00,69.4693,7.67,11.18,half_peak,5.28,88.47498263888886
2025-04-13 19:00:00,52.6486,0.0,9.58,half_peak,5.28,88.70285214484126
2025-04-13 20:00:00,51.7421,0.0,11.65,peak,7.92,88.63950879563497
2025-04-13 21:00:00,50.391600000000004,6.88,8.5,peak,7.92,87.89666567658729
2025-04-13 22:00:00,49.7677,0.0,9.17,half_peak,5.28,74.05443097321428
2025-04-13 23:00:00,50.9796,0.0,8.15,night,2.64,74.75073469940477
