meter_id,tariff_zone_id,measured_at,consumption_kwh,voltage_v,power_factor,quality_flag
9,1,2025-01-01 03:00:00,3.3682,230.03,0.956,valid
10,1,2025-01-01 03:00:00,3.3379,220.17,0.952,valid
11,1,2025-01-01 03:00:00,2.9753,220.88,0.985,valid
12,1,2025-01-01 03:00:00,2.906,224.43,0.916,valid
13,1,2025-01-01 03:00:00,2.9447,219.65,0.951,valid
14,1,2025-01-01 03:00:00,2.8759,229.98,0.962,valid
1,1,2025-01-01 04:00:00,7.4947,222.99,0.974,valid
2,1,2025-01-01 04:00:00,6.2793,224.81,0.917,valid
3,1,2025-01-01 04:00:00,5.2709,231.54,0.927,valid
4,1,2025-01-01 04:00:00,5.1609,220.7,0.928,valid
5,1,2025-01-01 04:00:00,4.5966,229.42,0.917,valid
6,1,2025-01-01 04:00:00,4.4949,229.32,0.952,valid
7,1,2025-01-01 04:00:00,4.0483,218.23,0.977,valid
8,1,2025-01-01 04:00:00,3.8286,219.16,0.952,valid
9,1,2025-01-01 04:00:00,3.7087,222.24,0.921,valid
10,1,2025-01-01 04:00:00,3.2987,224.64,0.972,valid
11,1,2025-01-01 04:00:00,2.9758,228.65,0.965,valid
12,1,2025-01-01 04:00:00,2.9218,223.36,0.913,valid
13,1,2025-01-01 04:00:00,2.9061,223.76,0.964,valid
14,1,2025-01-01 04:00:00,2.8257,220.32,0.911,valid
1,1,2025-01-01 05:00:00,6.7393,222.63,0.925,valid
2,1,2025-01-01 05:00:00,5.8489,224.73,0.918,valid
3,1,2025-01-01 05:00:00,5.185,228.68,0.949,valid
4,1,2025-01-01 05:00:00,4.8603,229.74,0.964,valid
5,1,2025-01-01 05:00:00,4.2329,223.63,0.951,valid
6,1,2025-01-01 05:00:00,4.0703,225.0,0.963,valid
7,1,2025-01-01 05:00:00,4.0761,228.63,0.97,valid
8,1,2025-01-01 05:00:00,3.5753,226.57,0.95,valid
9,1,2025-01-01 05:00:00,3.4547,219.7,0.924,valid
10,1,2025-01-01 05:00:00,3.2495,228.14,0.928,valid
11,1,2025-01-01 05:00:00,2.9777,228.87,0.962,valid
12,1,2025-01-01 05:00:00,2.7024,218.8,0.928,valid
13,1,2025-01-01 05:00:00,2.7849,231.05,0.923,valid
14,1,2025-01-01 05:00:00,2.6318,222.89,0.985,valid
1,1,2025-01-01 06:00:00,9.6451,231.87,0.964,valid
2,1,2025-01-01 06:00:00,7.4862,224.07,0.942,valid
3,1,2025-01-01 06:00:00,7.1929,222.95,0.969,valid
4,1,2025-01-01 06:00:00,6.1305,221.12,0.928,valid
5,1,2025-01-01 06:00:00,5.91,228.49,0.98,valid
6,1,2025-01-01 06:00:00,5.5549,224.68,0.911,valid
7,1,2025-01-01 06:00:00,5.33,220.02,0.965,valid
8,1,2025-01-01 06:00:00,5.1863,229.8,0.932,valid
9,1,2025-01-01 06:00:00,4.5899,221.23,0.963,valid
10,1,2025-01-01 06:00:00,4.2558,228.73,0.948,valid
11,1,2025-01-01 06:00:00,4.0086,230.21,0.984,valid
12,1,2025-01-01 06:00:00,3.6445,228.17,0.932,valid
13,1,2025-01-01 06:00:00,3.5486,229.91,0.925,valid
14,1,2025-01-01 06:00:00,3.7124,228.05,0.978,valid
1,2,2025-01-01 07:00:00,8.3511,225.75,0.924,valid
2,2,2025-01-01 07:00:00,7.0505,223.71,0.962,valid
3,2,2025-01-01 07:00:00,6.4697,221.07,0.956,valid
4,2,2025-01-01 07:00:00,5.9141,225.85,0.964,valid
5,2,2025-01-01 07:00:00,5.6375,230.57,0.987,valid
6,2,2025-01-01 07:00:00,5.195,218.92,0.919,valid
7,2,2025-01-01 07:00:00,5.139,222.21,0.969,valid
8,2,2025-01-01 07:00:00,4.9489,224.35,0.932,valid
9,2,2025-01-01 07:00:00,4.2351,230.76,0.975,valid
10,2,2025-01-01 07:00:00,4.2706,232.0,0.946,valid
11,2,2025-01-01 07:00:00,3.8444,222.71,0.921,valid
12,2,2025-01-01 07:00:00,3.5773,223.19,0.953,valid
13,2,2025-01-01 07:00:00,3.5333,221.4,0.912,valid
14,2,2025-01-01 07:00:00,3.6573,228.65,0.971,valid
1,3,2025-01-01 08:00:00,13.15,228.44,0.952,valid
2,3,2025-01-01 08:00:00,11.0567,229.96,0.919,valid
3,3,2025-01-01 08:00:00,9.8138,225.32,0.978,valid
4,3,2025-01-01 08:00:00,9.572,230.28,0.926,valid
5,3,2025-01-01 08:00:00,8.5681,221.46,0.928,valid
6,3,2025-01-01 08:00:00,8.0031,220.13,0.975,valid
7,3,2025-01-01 08:00:00,7.8276,231.61,0.96,valid
8,3,2025-01-01 08:00:00,7.3518,231.06,0.954,valid
9,3,2025-01-01 08:00:00,6.4369,223.7,0.945,valid
10,3,2025-01-01 08:00:00,6.0362,225.73,0.972,valid
11,3,2025-01-01 08:00:00,5.5976,218.35,0.918,valid
12,3,2025-01-01 08:00:00,5.2569,220.78,0.947,valid
13,3,2025-01-01 08:00:00,5.5786,221.25,0.938,valid
14,3,2025-01-01 08:00:00,5.476,220.29,0.98,valid
1,3,2025-01-01 09:00:00,13.2284,218.27,0.954,valid
2,3,2025-01-01 09:00:00,10.9483,231.35,0.925,valid
3,3,2025-01-01 09:00:00,10.1512,226.36,0.969,valid
4,3,2025-01-01 09:00:00,8.6097,218.68,0.948,valid
5,3,2025-01-01 09:00:00,8.8136,221.55,0.989,valid
6,3,2025-01-01 09:00:00,8.3502,224.6,0.946,valid
7,3,2025-01-01 09:00:00,7.8567,218.36,0.956,valid
8,3,2025-01-01 09:00:00,6.6772,228.41,0.949,valid
9,3,2025-01-01 09:00:00,6.446,223.44,0.98,valid
10,3,2025-01-01 09:00:00,6.2145,218.35,0.955,valid
11,3,2025-01-01 09:00:00,5.3317,231.04,0.983,valid
12,3,2025-01-01 09:00:00,5.283,227.38,0.982,valid
13,3,2025-01-01 09:00:00,5.0039,222.11,0.983,valid
14,3,2025-01-01 09:00:00,5.3012,222.09,0.978,valid
1,3,2025-01-01 10:00:00,14.3047,228.25,0.917,valid
2,3,2025-01-01 10:00:00,11.0025,219.1,0.971,valid
3,3,2025-01-01 10:00:00,10.1088,222.03,0.936,valid
4,3,2025-01-01 10:00:00,9.5485,221.93,0.918,valid
5,3,2025-01-01 10:00:00,9.1703,218.94,0.942,valid
6,3,2025-01-01 10:00:00,8.4849,219.22,0.917,valid
7,3,2025-01-01 10:00:00,8.3797,219.05,0.95,valid
8,3,2025-01-01 10:00:00,7.6058,230.73,0.959,valid
9,3,2025-01-01 10:00:00,7.1334,230.19,0.919,valid
10,3,2025-01-01 10:00:00,6.2584,229.36,0.932,valid
11,3,2025-01-01 10:00:00,5.9582,222.49,0.923,valid
12,3,2025-01-01 10:00:00,5.5286,224.57,0.976,valid
13,3,2025-01-01 10:00:00,5.4339,219.42,0.958,valid
14,3,2025-01-01 10:00:00,5.8914,223.84,0.933,valid
1,2,2025-01-01 11:00:00,11.6098,226.26,0.942,valid
2,2,2025-01-01 11:00:00,9.9867,223.76,0.919,valid
3,2,2025-01-01 11:00:00,9.4049,230.44,0.959,valid
4,2,2025-01-01 11:00:00,8.1676,227.78,0.933,valid
5,2,2025-01-01 11:00:00,7.6047,226.41,0.956,valid
6,2,2025-01-01 11:00:00,7.7916,223.82,0.92,valid
7,2,2025-01-01 11:00:00,7.1291,218.77,0.932,valid
8,2,2025-01-01 11:00:00,6.8055,223.23,0.939,valid
9,2,2025-01-01 11:00:00,6.2739,219.26,0.971,valid
10,2,2025-01-01 11:00:00,5.7953,230.82,0.92,valid
11,2,2025-01-01 11:00:00,5.139,223.25,0.911,valid
12,2,2025-01-01 11:00:00,4.6703,219.96,0.916,valid
13,2,2025-01-01 11:00:00,4.929,227.93,0.941,valid
14,2,2025-01-01 11:00:00,5.072,229.65,0.977,valid
1,2,2025-01-01 12:00:00,11.7651,231.83,0.955,valid
2,2,2025-01-01 12:00:00,10.371,225.65,0.932,valid
3,2,2025-01-01 12:00:00,8.8991,222.12,0.943,valid
4,2,2025-01-01 12:00:00,8.1268,221.59,0.981,valid
5,2,2025-01-01 12:00:00,7.7281,226.38,0.944,valid
6,2,2025-01-01 12:00:00,7.8113,226.36,0.942,valid
7,2,2025-01-01 12:00:00,7.5872,228.91,0.945,valid
8,2,2025-01-01 12:00:00,6.8632,228.88,0.989,valid
9,2,2025-01-01 12:00:00,6.0811,220.83,0.95,valid
10,2,2025-01-01 12:00:00,5.8703,224.23,0.918,valid
11,2,2025-01-01 12:00:00,5.2712,218.7,0.914,valid
12,2,2025-01-01 12:00:00,5.0223,221.51,0.983,valid
13,2,2025-01-01 12:00:00,5.1271,228.57,0.919,valid
14,2,2025-01-01 12:00:00,4.8797,224.99,0.955,valid
1,2,2025-01-01 13:00:00,12.901,223.75,0.951,valid
2,2,2025-01-01 13:00:00,10.6705,221.25,0.943,valid
3,2,2025-01-01 13:00:00,9.531,221.57,0.944,valid
4,2,2025-01-01 13:00:00,8.7593,229.18,0.969,valid
5,2,2025-01-01 13:00:00,8.3473,218.18,0.916,valid
6,2,2025-01-01 13:00:00,7.7528,228.31,0.914,valid
7,2,2025-01-01 13:00:00,7.1888,225.82,0.938,valid
8,2,2025-01-01 13:00:00,6.3377,225.64,0.956,valid
9,2,2025-01-01 13:00:00,6.1844,220.47,0.935,valid
10,2,2025-01-01 13:00:00,5.5323,225.48,0.927,valid
11,2,2025-01-01 13:00:00,5.2897,230.59,0.948,valid
12,2,2025-01-01 13:00:00,4.8346,227.64,0.97,valid
13,2,2025-01-01 13:00:00,4.8337,225.56,0.971,valid
14,2,2025-01-01 13:00:00,4.8643,227.95,0.934,valid
1,2,2025-01-01 14:00:00,13.6944,221.86,0.99,valid
2,2,2025-01-01 14:00:00,11.1556,221.33,0.965,valid
3,2,2025-01-01 14:00:00,10.6462,229.06,0.925,valid
4,2,2025-01-01 14:00:00,9.9958,222.1,0.922,valid
5,2,2025-01-01 14:00:00,9.2706,221.55,0.94,valid
6,2,2025-01-01 14:00:00,9.0577,229.73,0.964,valid
7,2,2025-01-01 14:00:00,8.295,218.22,0.938,valid
8,2,2025-01-01 14:00:00,7.7707,228.77,0.911,valid
9,2,2025-01-01 14:00:00,6.9434,227.67,0.957,valid
10,2,2025-01-01 14:00:00,6.5577,222.18,0.949,valid
11,2,2025-01-01 14:00:00,5.7314,230.73,0.914,valid
12,2,2025-01-01 14:00:00,5.4497,231.35,0.956,valid
13,2,2025-01-01 14:00:00,5.418,221.38,0.946,valid
14,2,2025-01-01 14:00:00,5.4971,218.09,0.914,valid
1,2,2025-01-01 15:00:00,12.8541,224.86,0.938,valid
2,2,2025-01-01 15:00:00,10.9507,224.84,0.932,valid
3,2,2025-01-01 15:00:00,10.1958,231.11,0.959,valid
4,2,2025-01-01 15:00:00,9.5565,225.05,0.953,valid
5,2,2025-01-01 15:00:00,8.5902,224.07,0.948,valid
6,2,2025-01-01 15:00:00,8.6434,224.81,0.963,valid
7,2,2025-01-01 15:00:00,7.9878,219.29,0.912,valid
8,2,2025-01-01 15:00:00,7.0764,220.84,0.945,valid
9,2,2025-01-01 15:00:00,6.4045,225.76,0.944,valid
10,2,2025-01-01 15:00:00,6.0489,228.4,0.987,valid
11,2,2025-01-01 15:00:00,5.5508,225.38,0.938,valid
12,2,2025-01-01 15:00:00,5.5295,221.24,0.911,valid
13,2,2025-01-01 15:00:00,5.523,228.34,0.948,valid
14,2,2025-01-01 15:00:00,5.1539,222.58,0.948,valid
1,2,2025-01-01 16:00:00,12.2524,220.62,0.925,valid
2,2,2025-01-01 16:00:00,10.4291,225.9,0.975,valid
3,2,2025-01-01 16:00:00,9.3092,230.32,0.929,valid
4,2,2025-01-01 16:00:00,8.361,226.77,0.982,valid
5,2,2025-01-01 16:00:00,8.7006,224.91,0.987,valid
6,2,2025-01-01 16:00:00,8.2146,224.64,0.963,valid
7,2,2025-01-01 16:00:00,7.6322,229.36,0.915,valid
8,2,2025-01-01 16:00:00,6.7726,218.26,0.913,valid
9,2,2025-01-01 16:00:00,6.2838,219.78,0.913,valid
10,2,2025-01-01 16:00:00,6.2545,219.5,0.975,valid
11,2,2025-01-01 16:00:00,5.4193,224.07,0.953,valid
12,2,2025-01-01 16:00:00,5.1561,219.94,0.985,valid
13,2,2025-01-01 16:00:00,5.3045,228.86,0.945,valid
14,2,2025-01-01 16:00:00,5.2301,218.58,0.941,valid
1,2,2025-01-01 17:00:00,13.3742,231.3,0.914,valid
2,2,2025-01-01 17:00:00,10.9899,229.35,0.911,valid
3,2,2025-01-01 17:00:00,10.9769,227.52,0.932,valid
4,2,2025-01-01 17:00:00,9.4483,219.36,0.948,valid
5,2,2025-01-01 17:00:00,8.7142,228.58,0.986,valid
6,2,2025-01-01 17:00:00,8.5975,223.88,0.975,valid
7,2,2025-01-01 17:00:00,8.424,222.24,0.966,valid
8,2,2025-01-01 17:00:00,7.7566,227.18,0.919,valid
9,2,2025-01-01 17:00:00,7.1046,220.06,0.939,valid
10,2,2025-01-01 17:00:00,6.3137,223.24,0.974,valid
11,2,2025-01-01 17:00:00,5.6999,224.14,0.944,valid
12,2,2025-01-01 17:00:00,5.6993,224.07,0.942,valid
13,2,2025-01-01 17:00:00,5.3627,225.94,0.972,valid
14,2,2025-01-01 17:00:00,5.4788,228.16,0.928,valid
1,2,2025-01-01 18:00:00,10.0679,221.99,0.947,valid
2,2,2025-01-01 18:00:00,8.566,227.69,0.911,valid
3,2,2025-01-01 18:00:00,7.5064,227.04,0.984,valid
4,2,2025-01-01 18:00:00,6.7679,225.95,0.922,valid
5,2,2025-01-01 18:00:00,6.9845,231.81,0.97,valid
6,2,2025-01-01 18:00:00,6.3633,229.19,0.978,valid
7,2,2025-01-01 18:00:00,5.8615,230.67,0.951,valid
8,2,2025-01-01 18:00:00,5.2984,219.22,0.948,valid
9,2,2025-01-01 18:00:00,4.8106,228.68,0.935,valid
10,2,2025-01-01 18:00:00,4.9468,229.44,0.945,valid
11,2,2025-01-01 18:00:00,4.5638,223.54,0.93,valid
12,2,2025-01-01 18:00:00,4.1458,231.06,0.976,valid
13,2,2025-01-01 18:00:00,4.0207,220.67,0.95,valid
14,2,2025-01-01 18:00:00,4.3445,222.93,0.932,valid
1,2,2025-01-01 19:00:00,10.7106,219.37,0.958,valid
2,2,2025-01-01 19:00:00,8.7973,221.08,0.929,valid
3,2,2025-01-01 19:00:00,7.779,219.27,0.953,valid
4,2,2025-01-01 19:00:00,7.1989,225.81,0.976,valid
5,2,2025-01-01 19:00:00,6.6652,228.81,0.934,valid
6,2,2025-01-01 19:00:00,6.7959,219.66,0.986,valid
7,2,2025-01-01 19:00:00,6.2349,227.55,0.947,valid
8,2,2025-01-01 19:00:00,5.6864,218.08,0.922,valid
9,2,2025-01-01 19:00:00,5.47,224.99,0.93,valid
10,2,2025-01-01 19:00:00,5.1567,230.19,0.974,valid
11,2,2025-01-01 19:00:00,4.4752,222.66,0.967,valid
12,2,2025-01-01 19:00:00,4.1904,227.63,0.921,valid
13,2,2025-01-01 19:00:00,4.1034,223.02,0.982,valid
14,2,2025-01-01 19:00:00,4.2153,225.34,0.916,valid
1,3,2025-01-01 20:00:00,10.612,228.93,0.971,valid
2,3,2025-01-01 20:00:00,8.7482,231.66,0.942,valid
3,3,2025-01-01 20:00:00,7.9538,230.03,0.973,valid
4,3,2025-01-01 20:00:00,7.0326,223.08,0.981,valid
5,3,2025-01-01 20:00:00,7.2532,223.49,0.913,valid
6,3,2025-01-01 20:00:00,6.7923,222.53,0.949,valid
7,3,2025-01-01 20:00:00,6.3762,221.35,0.979,valid
8,3,2025-01-01 20:00:00,5.5897,223.6,0.926,valid
9,3,2025-01-01 20:00:00,5.3063,220.41,0.989,valid
10,3,2025-01-01 20:00:00,5.0691,218.58,0.912,valid
11,3,2025-01-01 20:00:00,4.3844,228.37,0.958,valid
12,3,2025-01-01 20:00:00,4.3259,225.89,0.945,valid
13,3,2025-01-01 20:00:00,4.2466,228.18,0.938,valid
14,3,2025-01-01 20:00:00,4.4184,231.11,0.968,valid
1,3,2025-01-01 21:00:00,10.6038,218.67,0.917,valid
2,3,2025-01-01 21:00:00,8.9079,223.14,0.942,valid
3,3,2025-01-01 21:00:00,8.289,222.13,0.944,valid
4,3,2025-01-01 21:00:00,7.0166,219.46,0.986,valid
5,3,2025-01-01 21:00:00,7.2147,225.74,0.971,valid
6,3,2025-01-01 21:00:00,6.5981,225.24,0.989,valid
7,3,2025-01-01 21:00:00,5.9721,227.23,0.947,valid
8,3,2025-01-01 21:00:00,5.8308,221.16,0.931,valid
9,3,2025-01-01 21:00:00,5.0816,229.51,0.915,valid
10,3,2025-01-01 21:00:00,4.8336,223.38,0.98,valid
11,3,2025-01-01 21:00:00,4.6266,228.63,0.932,valid
12,3,2025-01-01 21:00:00,4.2192,229.9,0.933,valid
13,3,2025-01-01 21:00:00,4.1849,221.95,0.943,valid
14,3,2025-01-01 21:00:00,4.1061,219.15,0.916,valid
1,2,2025-01-01 22:00:00,9.7759,220.86,0.948,valid
2,2,2025-01-01 22:00:00,7.8172,228.09,0.968,valid
3,2,2025-01-01 22:00:00,7.0826,229.27,0.961,valid
4,2,2025-01-01 22:00:00,6.5829,231.28,0.977,valid
5,2,2025-01-01 22:00:00,5.9399,228.21,0.911,valid
6,2,2025-01-01 22:00:00,5.8214,222.94,0.962,valid
7,2,2025-01-01 22:00:00,5.6196,222.4,0.925,valid
8,2,2025-01-01 22:00:00,4.8225,230.09,0.975,valid
9,2,2025-01-01 22:00:00,4.593,221.62,0.92,valid
10,2,2025-01-01 22:00:00,4.5675,224.16,0.921,valid
11,2,2025-01-01 22:00:00,3.9426,226.21,0.919,valid
12,2,2025-01-01 22:00:00,3.771,219.34,0.919,valid
13,2,2025-01-01 22:00:00,3.783,227.26,0.963,valid
14,2,2025-01-01 22:00:00,3.9833,220.46,0.931,valid
1,1,2025-01-01 23:00:00,8.1442,228.1,0.967,valid
2,1,2025-01-01 23:00:00,6.7851,223.69,0.98,valid
3,1,2025-01-01 23:00:00,6.38,226.95,0.941,valid
4,1,2025-01-01 23:00:00,6.0363,225.85,0.976,valid
5,1,2025-01-01 23:00:00,5.5655,219.8,0.91,valid
6,1,2025-01-01 23:00:00,5.3005,228.66,0.928,valid
7,1,2025-01-01 23:00:00,5.085,227.06,0.967,valid
8,1,2025-01-01 23:00:00,4.5251,225.89,0.92,valid
9,1,2025-01-01 23:00:00,4.2898,226.39,0.954,valid
10,1,2025-01-01 23:00:00,3.8166,231.41,0.947,valid
11,1,2025-01-01 23:00:00,3.691,218.74,0.926,valid
12,1,2025-01-01 23:00:00,3.2805,226.35,0.933,valid
13,1,2025-01-01 23:00:00,3.5352,227.09,0.971,valid
14,1,2025-01-01 23:00:00,3.2639,224.03,0.966,valid
1,1,2025-01-02 00:00:00,6.7617,226.99,0.975,valid
2,1,2025-01-02 00:00:00,5.2975,224.51,0.943,valid
3,1,2025-01-02 00:00:00,5.187,229.26,0.977,valid
4,1,2025-01-02 00:00:00,4.6632,222.95,0.965,valid
5,1,2025-01-02 00:00:00,4.4136,226.07,0.955,valid
6,1,2025-01-02 00:00:00,4.1627,231.35,0.914,valid
7,1,2025-01-02 00:00:00,3.8044,227.51,0.924,valid
8,1,2025-01-02 00:00:00,3.7133,228.21,0.958,valid
9,1,2025-01-02 00:00:00,3.2784,230.25,0.931,valid
10,1,2025-01-02 00:00:00,3.1316,229.59,0.912,valid
11,1,2025-01-02 00:00:00,2.9102,224.81,0.929,valid
12,1,2025-01-02 00:00:00,2.5695,224.66,0.978,valid
13,1,2025-01-02 00:00:00,2.6394,229.05,0.953,valid
14,1,2025-01-02 00:00:00,2.7063,223.08,0.91,valid
1,1,2025-01-02 01:00:00,6.228,224.34,0.937,valid
2,1,2025-01-02 01:00:00,5.0783,218.15,0.956,valid
3,1,2025-01-02 01:00:00,4.7442,228.41,0.93,valid
4,1,2025-01-02 01:00:00,4.4362,220.34,0.928,valid
5,1,2025-01-02 01:00:00,4.2331,220.68,0.944,valid
6,1,2025-01-02 01:00:00,3.9075,222.98,0.976,valid
7,1,2025-01-02 01:00:00,3.8926,226.71,0.96,valid
8,1,2025-01-02 01:00:00,3.3108,220.27,0.937,valid
9,1,2025-01-02 01:00:00,3.3027,224.04,0.966,valid
10,1,2025-01-02 01:00:00,2.9504,229.83,0.978,valid
11,1,2025-01-02 01:00:00,2.8226,218.53,0.958,valid
12,1,2025-01-02 01:00:00,2.4414,225.36,0.963,valid
13,1,2025-01-02 01:00:00,2.6493,219.92,0.937,valid
14,1,2025-01-02 01:00:00,2.5356,219.92,0.914,valid
1,1,2025-01-02 02:00:00,6.6015,223.63,0.989,valid
2,1,2025-01-02 02:00:00,5.1868,223.84,0.934,valid
3,1,2025-01-02 02:00:00,4.8098,220.22,0.98,valid
4,1,2025-01-02 02:00:00,4.5075,226.33,0.957,valid
5,1,2025-01-02 02:00:00,4.094,218.4,0.939,valid
6,1,2025-01-02 02:00:00,3.8668,221.96,0.967,valid
7,1,2025-01-02 02:00:00,3.8469,219.17,0.921,valid
8,1,2025-01-02 02:00:00,3.5588,218.98,0.96,valid
9,1,2025-01-02 02:00:00,3.3256,223.23,0.938,valid
10,1,2025-01-02 02:00:00,3.1566,228.38,0.95,valid
11,1,2025-01-02 02:00:00,2.7959,224.93,0.951,valid
12,1,2025-01-02 02:00:00,2.6634,229.3,0.988,valid
13,1,2025-01-02 02:00:00,2.5893,220.22,0.943,valid
14,1,2025-01-02 02:00:00,2.5744,221.18,0.933,valid
1,1,2025-01-02 03:00:00,6.2092,231.32,0.919,valid
2,1,2025-01-02 03:00:00,5.0652,219.85,0.973,valid
3,1,2025-01-02 03:00:00,4.6477,230.53,0.939,valid
4,1,2025-01-02 03:00:00,4.5813,218.23,0.91,valid
5,1,2025-01-02 03:00:00,4.0005,231.64,0.986,valid
6,1,2025-01-02 03:00:00,4.0714,223.99,0.987,valid
7,1,2025-01-02 03:00:00,3.798,230.29,0.972,valid
8,1,2025-01-02 03:00:00,3.4199,229.18,0.97,valid
9,1,2025-01-02 03:00:00,3.0576,218.6,0.961,valid
10,1,2025-01-02 03:00:00,2.8857,222.07,0.958,valid
11,1,2025-01-02 03:00:00,2.7891,221.66,0.954,valid
12,1,2025-01-02 03:00:00,2.4422,229.68,0.924,valid
13,1,2025-01-02 03:00:00,2.628,229.86,0.916,valid
14,1,2025-01-02 03:00:00,2.7334,224.11,0.918,valid
1,1,2025-01-02 04:00:00,6.7519,229.72,0.913,valid
2,1,2025-01-02 04:00:00,5.9459,221.6,0.944,valid
3,1,2025-01-02 04:00:00,5.5319,219.1,0.923,valid
4,1,2025-01-02 04:00:00,4.6399,228.43,0.961,valid
5,1,2025-01-02 04:00:00,4.598,223.05,0.976,valid
6,1,2025-01-02 04:00:00,4.266,229.06,0.989,valid
7,1,2025-01-02 04:00:00,4.0183,220.2,0.99,valid
8,1,2025-01-02 04:00:00,3.9049,231.51,0.965,valid
9,1,2025-01-02 04:00:00,3.3849,229.59,0.962,valid
10,1,2025-01-02 04:00:00,3.3509,219.49,0.924,valid
11,1,2025-01-02 04:00:00,3.0291,222.0,0.915,valid
12,1,2025-01-02 04:00:00,2.841,227.56,0.987,valid
13,1,2025-01-02 04:00:00,2.8802,226.12,0.967,valid
14,1,2025-01-02 04:00:00,2.7432,220.24,0.928,valid
1,1,2025-01-02 05:00:00,6.6463,227.64,0.972,valid
2,1,2025-01-02 05:00:00,5.1608,230.11,0.933,valid
3,1,2025-01-02 05:00:00,5.2012,222.92,0.912,valid
4,1,2025-01-02 05:00:00,4.6886,220.11,0.978,valid
5,1,2025-01-02 05:00:00,4.1577,221.41,0.93,valid
6,1,2025-01-02 05:00:00,3.9239,231.1,0.988,valid
7,1,2025-01-02 05:00:00,4.0197,221.42,0.96,valid
8,1,2025-01-02 05:00:00,3.4956,228.04,0.983,valid
9,1,2025-01-02 05:00:00,3.1456,228.61,0.944,valid
10,1,2025-01-02 05:00:00,3.1227,228.01,0.986,valid
11,1,2025-01-02 05:00:00,2.8689,229.96,0.955,valid
12,1,2025-01-02 05:00:00,2.7062,224.08,0.919,valid
13,1,2025-01-02 05:00:00,2.5206,226.03,0.966,valid
14,1,2025-01-02 05:00:00,2.7604,226.33,0.958,valid
1,1,2025-01-02 06:00:00,8.2286,218.89,0.952,valid
2,1,2025-01-02 06:00:00,7.2414,223.35,0.964,valid
3,1,2025-01-02 06:00:00,6.2094,222.36,0.914,valid
